date,price,open,high,low,volume,change_percent
Apr 16 2023,1227.35,1250.30,1269.95,1185.30,94.22M,-11.65%
Apr 09 2023,1389.20,1423.95,1434.00,1383.00,29.03M,-2.30%
Apr 02 2023,1421.90,1435.00,1435.00,1400.00,19.70M,-0.42%
Mar 26 2023,1427.95,1386.25,1429.95,1364.55,28.33M,3.43%
Mar 19 2023,1380.65,1419.70,1419.70,1370.00,40.28M,-2.82%
Mar 12 2023,1420.70,1464.20,1478.30,1398.70,40.17M,-3.46%
Mar 05 2023,1471.55,1494.55,1520.40,1457.65,19.50M,-0.52%
Feb 26 2023,1479.30,1540.00,1540.00,1467.30,28.98M,-4.60%
Feb 19 2023,1550.65,1584.95,1603.00,1545.00,16.36M,-2.09%
Feb 12 2023,1583.80,1597.00,1614.45,1566.00,19.66M,-1.54%
Feb 05 2023,1608.55,1598.00,1619.75,1555.10,28.58M,0.57%
Jan 29 2023,1599.40,1528.80,1604.65,1513.00,36.56M,5.28%
Jan 22 2023,1519.15,1535.00,1568.80,1507.40,20.42M,-0.42%
Jan 15 2023,1525.55,1510.00,1551.85,1502.30,30.50M,1.46%
Jan 08 2023,1503.65,1448.20,1519.40,1448.20,43.03M,3.81%
Jan 01 2023,1448.50,1514.00,1532.65,1446.50,31.72M,-3.96%
Dec 25 2022,1508.20,1500.50,1530.40,1496.35,23.69M,0.74%
Dec 18 2022,1497.10,1507.95,1529.95,1482.45,32.44M,-1.65%
Dec 11 2022,1522.20,1550.00,1588.50,1512.05,35.22M,-3.00%
Dec 04 2022,1569.30,1638.00,1644.85,1561.10,26.63M,-4.19%
Nov 27 2022,1637.90,1628.00,1672.60,1613.15,28.52M,0.14%
Nov 20 2022,1635.65,1582.10,1644.00,1562.00,19.56M,2.65%
Nov 13 2022,1593.40,1575.15,1609.00,1568.45,19.50M,1.48%
Nov 06 2022,1570.10,1521.40,1573.50,1485.00,18.88M,3.71%
Oct 30 2022,1514.00,1530.25,1575.00,1501.15,19.71M,0.05%
Oct 23 2022,1513.25,1518.50,1534.90,1507.00,14.71M,0.85%
Oct 16 2022,1500.50,1476.90,1510.95,1474.20,20.71M,1.78%
Oct 09 2022,1474.25,1426.35,1494.00,1413.55,43.39M,1.59%
Oct 02 2022,1451.20,1412.00,1459.80,1386.00,21.75M,2.67%
Sep 25 2022,1413.45,1360.00,1419.30,1355.00,39.24M,3.52%
Sep 18 2022,1365.45,1392.00,1413.55,1360.00,41.33M,-0.84%
Sep 11 2022,1377.05,1525.80,1553.00,1368.35,58.02M,-8.90%
Sep 04 2022,1511.65,1451.00,1520.00,1438.05,19.58M,4.04%
Aug 28 2022,1453.00,1468.55,1496.10,1448.00,28.12M,-4.51%
Aug 21 2022,1521.55,1586.00,1599.00,1513.75,19.80M,-4.73%
Aug 14 2022,1597.10,1609.00,1612.00,1574.00,16.45M,0.19%
Aug 07 2022,1594.10,1617.00,1631.35,1588.10,15.21M,-1.39%
Jul 31 2022,1616.65,1564.00,1625.70,1528.35,26.13M,4.32%
Jul 24 2022,1549.70,1480.10,1555.70,1445.00,33.29M,2.88%
Jul 17 2022,1506.30,1450.00,1540.00,1448.05,26.36M,5.31%
Jul 10 2022,1430.35,1495.00,1499.90,1410.65,26.45M,-5.55%
Jul 03 2022,1514.45,1480.25,1516.95,1462.00,24.37M,2.37%
Jun 26 2022,1479.40,1468.05,1488.25,1442.35,27.80M,2.66%
Jun 19 2022,1441.10,1390.05,1467.50,1382.00,29.49M,3.88%
Jun 12 2022,1387.30,1443.60,1448.90,1367.15,34.06M,-6.06%
Jun 05 2022,1476.80,1516.00,1536.60,1473.60,27.10M,-2.95%
May 29 2022,1521.70,1487.00,1555.00,1472.10,52.28M,4.13%
May 22 2022,1461.35,1455.10,1488.00,1399.25,42.54M,0.43%
May 15 2022,1455.15,1510.00,1549.70,1417.65,46.31M,-3.27%
May 08 2022,1504.40,1540.00,1586.80,1498.10,34.65M,-2.49%
May 01 2022,1542.85,1550.90,1589.40,1530.15,25.61M,-1.58%
Apr 24 2022,1567.55,1572.80,1601.80,1550.35,40.24M,-1.13%
Apr 17 2022,1585.45,1605.50,1650.00,1550.00,74.15M,-9.33%
Apr 10 2022,1748.55,1814.00,1814.00,1727.75,20.96M,-3.64%
Apr 03 2022,1814.60,1889.75,1893.00,1807.55,29.17M,-4.67%
Mar 27 2022,1903.55,1866.00,1919.00,1852.65,27.29M,1.44%
Mar 20 2022,1876.55,1861.00,1900.00,1839.00,27.49M,1.18%
Mar 13 2022,1854.60,1831.55,1923.30,1830.00,40.40M,1.79%
Mar 06 2022,1822.00,1697.00,1844.75,1696.00,42.23M,5.73%
Feb 27 2022,1723.30,1682.20,1736.00,1665.00,38.27M,1.69%
Feb 20 2022,1694.60,1701.00,1758.25,1670.50,42.81M,-0.72%
Feb 13 2022,1706.95,1690.00,1755.45,1678.25,27.02M,-0.84%
Feb 06 2022,1721.35,1722.20,1773.90,1695.40,26.12M,-1.13%
Jan 30 2022,1741.10,1718.00,1792.80,1710.15,26.70M,3.26%
Jan 23 2022,1686.20,1765.00,1768.65,1665.00,38.48M,-5.57%
Jan 16 2022,1785.70,1938.55,1953.90,1776.00,28.49M,-7.45%
Jan 09 2022,1929.35,1815.00,1933.00,1813.00,40.33M,6.34%
Jan 02 2022,1814.30,1887.75,1914.05,1800.00,25.53M,-3.89%
Dec 26 2021,1887.75,1860.00,1909.80,1845.05,18.43M,1.30%
Dec 19 2021,1863.50,1801.70,1875.75,1787.30,23.18M,2.34%
Dec 12 2021,1820.85,1767.05,1842.00,1710.35,35.23M,3.50%
Dec 05 2021,1759.25,1730.00,1769.40,1691.50,15.13M,1.37%
Nov 28 2021,1735.55,1691.00,1786.65,1669.15,36.26M,2.60%
Nov 21 2021,1691.65,1784.00,1785.40,1684.00,31.36M,-4.93%
Nov 14 2021,1779.40,1782.10,1808.95,1759.00,19.45M,-0.04%
Nov 07 2021,1780.20,1730.00,1782.85,1703.00,23.84M,4.18%
