date,open,high,low,close
Apr 24 2023,17707.55,17931.60,17612.50,17915.05
Apr 17 2023,17863.00,17863.00,17553.95,17624.05
Apr 10 2023,17634.90,17842.15,17597.95,17828.00
Apr 03 2023,17427.95,17638.70,17312.75,17599.15
Mar 27 2023,16984.30,17381.60,16913.75,17359.75
Mar 20 2023,17066.60,17207.25,16828.35,16945.05
Mar 13 2023,17421.90,17529.90,16850.15,17100.05
Mar 06 2023,17680.35,17799.95,17324.35,17412.90
Feb 27 2023,17428.60,17644.75,17255.20,17594.35
Feb 20 2023,17965.55,18004.35,17421.80,17465.80
Feb 13 2023,17859.10,18134.75,17719.75,17944.20
Feb 06 2023,17818.55,17916.90,17652.55,17856.50
Jan 30 2023,17541.95,17972.20,17353.40,17854.05
Jan 23 2023,18118.45,18201.25,17493.55,17604.35
Jan 16 2023,18033.15,18183.75,17853.65,18027.65
Jan 09 2023,17952.55,18141.40,17761.65,17956.60
Jan 02 2023,18131.70,18251.95,17795.55,17859.45
Dec 26 2022,17830.40,18265.25,17774.25,18105.30
Dec 19 2022,18288.10,18473.35,17779.50,17806.80
Dec 12 2022,18402.15,18696.10,18255.15,18269.00
Dec 05 2022,18719.55,18728.60,18410.10,18496.60
Nov 28 2022,18430.55,18887.60,18365.60,18696.10
Nov 21 2022,18246.40,18534.90,18133.35,18512.75
Nov 14 2022,18376.40,18442.15,18209.80,18307.65
Nov 07 2022,18211.75,18362.30,17969.40,18349.70
Oct 31 2022,17910.20,18178.75,17899.90,18117.15
Oct 24 2022,17736.35,17838.90,17637.00,17786.80
Oct 17 2022,17144.80,17670.15,17098.55,17576.30
Oct 10 2022,17094.35,17348.55,16950.30,17185.70
Oct 03 2022,17102.10,17428.80,16855.55,17314.65
Sep 26 2022,17156.30,17196.40,16747.70,17094.35
Sep 19 2022,17540.65,17919.30,17291.65,17327.35
Sep 12 2022,17890.85,18096.15,17497.25,17530.85
Sep 05 2022,17546.45,17925.95,17484.30,17833.35
Aug 29 2022,17188.65,17777.65,17166.20,17539.45
Aug 22 2022,17682.90,17726.50,17345.20,17558.90
Aug 15 2022,17797.20,17992.20,17710.75,17758.45
Aug 08 2022,17401.50,17724.65,17359.75,17698.15
Aug 01 2022,17243.20,17490.70,17154.80,17397.50
Jul 25 2022,16662.55,17172.80,16438.75,17158.25
Jul 18 2022,16151.40,16752.25,16142.20,16719.45
Jul 11 2022,16136.15,16248.55,15858.20,16049.20
Jul 04 2022,15710.50,16275.50,15661.80,16220.60
Jun 27 2022,15926.20,15927.45,15511.05,15752.05
Jun 20 2022,15334.50,15749.25,15191.10,15699.25
Jun 13 2022,15877.55,15886.15,15183.40,15293.50
Jun 06 2022,16530.70,16610.95,16172.60,16201.80
May 30 2022,16527.90,16793.85,16438.85,16584.30
May 23 2022,16290.95,16414.70,15903.70,16352.45
May 16 2022,15845.10,16399.80,15739.65,16266.15
May 09 2022,16227.70,16404.55,15735.75,15782.15
May 02 2022,16924.45,17132.85,16340.90,16411.25
Apr 25 2022,17009.05,17377.65,16888.70,17102.55
Apr 18 2022,17183.45,17414.70,16824.70,17171.95
Apr 11 2022,17740.90,17779.05,17442.35,17475.65
Apr 04 2022,17809.10,18114.65,17600.55,17784.35
Mar 28 2022,17181.85,17703.70,17003.90,17670.45
Mar 21 2022,17329.50,17442.40,17006.30,17153.00
Mar 14 2022,16633.70,17344.60,16555.00,17287.05
Mar 07 2022,15867.95,16757.30,15671.45,16630.45
Feb 28 2022,16481.60,16815.90,16133.80,16245.35
